"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"684397","1940",2,27114571,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684408","1940",2,27114585,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"684415","1940",2,27114594,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684416","1940",2,27114600,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",14,"2nd year of college"
"684425","1940",2,27114613,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684431","1940",2,27114621,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684438","1940",2,27114631,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684439","1940",2,27114633,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684440","1940",2,27114633,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","18","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684443","1940",2,27114634,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"684457","1940",2,27114656,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684462","1940",2,27114658,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684472","1940",2,27114694,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"684473","1940",2,27114695,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684479","1940",2,27114702,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","West Virginia","West Virginia","No, not in school",10,"10th grade"
"684480","1940",2,27114702,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684485","1940",2,27114710,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"684486","1940",2,27114710,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684488","1940",2,27114711,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684496","1940",2,27114715,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684502","1940",2,27114724,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684503","1940",2,27114725,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684512","1940",2,27114745,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684517","1940",2,27114753,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","20","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684524","1940",2,27114758,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684526","1940",2,27114759,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684529","1940",2,27114764,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684535","1940",2,27114771,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"684537","1940",2,27114783,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Wisconsin","Wisconsin","Yes, in school",14,"2nd year of college"
"684547","1940",2,27114810,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684554","1940",2,27114823,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",7,1,"Male","20","White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"684558","1940",2,27114829,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684561","1940",2,27114832,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684565","1940",2,27114836,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684576","1940",2,27114846,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","20","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"684582","1940",2,27114850,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684583","1940",2,27114850,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"684589","1940",2,27114860,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",7,1,"Male","19","White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"684590","1940",2,27114860,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",8,1,"Male","17","White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"684593","1940",2,27114861,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",9,1,"Male","21","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684594","1940",2,27114863,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684595","1940",2,27114863,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684596","1940",2,27114866,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684604","1940",2,27114881,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684627","1940",2,27114909,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"684635","1940",2,27114921,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684638","1940",2,27114922,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",6,1,"Male","18","White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"684640","1940",2,27114924,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684644","1940",2,27114926,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684645","1940",2,27114926,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"684648","1940",2,27114928,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684651","1940",2,27114937,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"684653","1940",2,27114939,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"684656","1940",2,27114951,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","19","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684659","1940",2,27114955,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","Yes, in school",14,"2nd year of college"
"684664","1940",2,27114961,1,"East North Central Div.","Ohio",1290,"Urban","Fragment",2,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684668","1940",2,27114973,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"684669","1940",2,27114974,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684671","1940",2,27114976,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","19","White","White","Tennessee","Tennessee","No, not in school",11,"11th grade"
"684677","1940",2,27114989,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684678","1940",2,27114989,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"684680","1940",2,27114990,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"684688","1940",2,27114998,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","21","White","White","Kansas","Kansas","No, not in school",12,"12th grade"
"684693","1940",2,27115010,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684709","1940",2,27115068,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",9,1,"Male","20","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684715","1940",2,27115074,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"684717","1940",2,27115076,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684721","1940",2,27115078,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684729","1940",2,27115084,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","20","White","White","Ohio","Ohio","No, not in school",4,"4th grade"
"684732","1940",2,27115086,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Kentucky","Kentucky","No, not in school",6,"6th grade"
"684733","1940",2,27115086,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Kentucky","Kentucky","No, not in school",7,"7th grade"
"684744","1940",2,27115095,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Kentucky","Kentucky","No, not in school",7,"7th grade"
"684751","1940",2,27115103,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684757","1940",2,27115118,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684762","1940",2,27115128,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",4,"4th grade"
"684773","1940",2,27115134,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684778","1940",2,27115137,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684781","1940",2,27115138,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Illinois","Illinois","No, not in school",12,"12th grade"
"684788","1940",2,27115146,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"684789","1940",2,27115153,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"684791","1940",2,27115161,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684795","1940",2,27115163,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",14,"2nd year of college"
"684798","1940",2,27115176,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684808","1940",2,27115195,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"684812","1940",2,27115197,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684828","1940",2,27115228,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",6,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684844","1940",2,27115268,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"684846","1940",2,27115271,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684847","1940",2,27115271,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"684851","1940",2,27115272,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684852","1940",2,27115274,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684861","1940",2,27115293,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684865","1940",2,27115297,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684876","1940",2,27115312,1,"East North Central Div.","Ohio",1290,"Urban","Additional households under 1990 definition",5,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684877","1940",2,27115317,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","18","White","White","Indiana","Indiana","No, not in school",12,"12th grade"
"684884","1940",2,27115326,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684887","1940",2,27115329,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"684895","1940",2,27115332,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684905","1940",2,27115339,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"684909","1940",2,27115349,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684913","1940",2,27115355,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684920","1940",2,27115367,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684925","1940",2,27115373,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684926","1940",2,27115375,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","West Virginia","West Virginia","No, not in school",5,"5th grade"
"684927","1940",2,27115375,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","West Virginia","West Virginia","Yes, in school",13,"1st year of college"
"684931","1940",2,27115384,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684935","1940",2,27115386,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684936","1940",2,27115386,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684938","1940",2,27115388,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"684939","1940",2,27115391,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"684943","1940",2,27115396,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","20","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"684949","1940",2,27115402,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"684954","1940",2,27115411,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Indiana","Indiana","No, not in school",11,"11th grade"
"684963","1940",2,27115417,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"684968","1940",2,27115419,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"684984","1940",2,27115434,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"684987","1940",2,27115436,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"685005","1940",2,27115468,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"685006","1940",2,27115468,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"685008","1940",2,27115469,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685012","1940",2,27115471,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685034","1940",2,27115507,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"685038","1940",2,27115521,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",14,"2nd year of college"
"685047","1940",2,27115529,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"685051","1940",2,27115535,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"685054","1940",2,27115540,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",9,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685063","1940",2,27115548,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"685066","1940",2,27115550,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685073","1940",2,27115562,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"685078","1940",2,27115565,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"685079","1940",2,27115567,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"685080","1940",2,27115572,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685081","1940",2,27115573,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"685084","1940",2,27115575,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"685099","1940",2,27115602,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"685100","1940",2,27115603,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685102","1940",2,27115607,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"685115","1940",2,27115628,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685116","1940",2,27115629,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685117","1940",2,27115629,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",3,"3rd grade"
"685128","1940",2,27115647,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685132","1940",2,27115653,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"685133","1940",2,27115654,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"685149","1940",2,27115669,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685152","1940",2,27115675,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685155","1940",2,27115679,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",1,1,"Male","19","White","White","Pennsylvania","Pennsylvania","No, not in school",11,"11th grade"
"685172","1940",2,27115709,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685180","1940",2,27115715,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"685184","1940",2,27115723,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"685189","1940",2,27115745,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"685190","1940",2,27115746,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Virginia","Virginia","Yes, in school",9,"9th grade"
"685194","1940",2,27115754,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685195","1940",2,27115765,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",4,1,"Male","21","White","White","Montana","Montana","No, not in school",12,"12th grade"
"685198","1940",2,27115767,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",7,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"685203","1940",2,27115779,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",2,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685205","1940",2,27115785,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"685207","1940",2,27115790,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"685208","1940",2,27115795,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"685211","1940",2,27115809,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"685223","1940",2,27115830,1,"East North Central Div.","Ohio",1290,"Urban","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
