"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"686989","1940",2,27118062,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"686992","1940",2,27118069,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"686994","1940",2,27118084,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","Yes, in school",14,"2nd year of college"
"687002","1940",2,27118094,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"687006","1940",2,27118114,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687013","1940",2,27118130,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687019","1940",2,27118141,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"687023","1940",2,27118152,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",13,"1st year of college"
"687025","1940",2,27118154,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Kentucky","Kentucky","Yes, in school",9,"9th grade"
"687030","1940",2,27118157,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Maryland","Maryland","No, not in school",9,"9th grade"
"687035","1940",2,27118170,1,"East North Central Div.","Ohio",1290,"Rural","Fragment",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687042","1940",2,27118179,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"687043","1940",2,27118180,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"687044","1940",2,27118181,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"687054","1940",2,27118190,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"687058","1940",2,27118196,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"687069","1940",2,27118206,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"687073","1940",2,27118212,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687084","1940",2,27118218,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",4,"4th grade"
"687090","1940",2,27118226,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"687097","1940",2,27118231,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"687102","1940",2,27118232,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687105","1940",2,27118238,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"687106","1940",2,27118238,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",6,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"687109","1940",2,27118241,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",1,1,"Male","20","White","White","Illinois","Illinois","Yes, in school",13,"1st year of college"
"687121","1940",2,27118247,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",6,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687128","1940",2,27118254,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"687132","1940",2,27118257,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","21","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"687133","1940",2,27118257,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","19","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"687136","1940",2,27118261,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"687144","1940",2,27118276,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"687164","1940",2,27118286,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"687165","1940",2,27118286,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","18","White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"687169","1940",2,27118288,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","21","White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"687170","1940",2,27118288,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",6,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"687176","1940",2,27118302,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687177","1940",2,27118302,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"687181","1940",2,27118305,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687182","1940",2,27118305,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"687185","1940",2,27118307,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","20","White","White","Nebraska","Nebraska","No, not in school",12,"12th grade"
"687198","1940",2,27118322,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"687209","1940",2,27118342,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"687213","1940",2,27118344,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Kentucky","Kentucky","No, not in school",6,"6th grade"
"687214","1940",2,27118345,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687218","1940",2,27118346,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","19","White","White","Kentucky","Kentucky","No, not in school",6,"6th grade"
"687220","1940",2,27118349,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Nebraska","Nebraska","No, not in school",12,"12th grade"
"687221","1940",2,27118352,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"687232","1940",2,27118364,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","17","White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"687235","1940",2,27118365,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687245","1940",2,27118377,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","21","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687253","1940",2,27118390,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",2,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"687255","1940",2,27118396,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"687260","1940",2,27118398,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"687264","1940",2,27118400,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","20","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"687270","1940",2,27118410,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"687272","1940",2,27118411,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","19","White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"687273","1940",2,27118411,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",4,1,"Male","17","White","White","Kentucky","Kentucky","No, not in school",6,"6th grade"
"687280","1940",2,27118415,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",5,1,"Male","17","White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"687282","1940",2,27118416,1,"East North Central Div.","Ohio",1290,"Rural","Households under 1970 definition",3,1,"Male","18","White","White","Ohio","Ohio","No, not in school",12,"12th grade"
